1;O Hobbit;J.R.R. Tolkien;Fantasia;true;12
2;Dom Casmurro;Machado de Assis;Romance;true;8
3;1984;George Orwell;Ficção Científica;false;15
4;Harry Potter e a Pedra Filosofal;J.K. Rowling;Fantasia;false;20
5;O Pequeno Príncipe;Antoine de Saint-Exupéry;Infantil;true;18
6;Orgulho e Preconceito;Jane Austen;Romance;true;10
7;A Revolução dos Bichos;George Orwell;Ficção;true;14
8;O Senhor dos Anéis;J.R.R. Tolkien;Fantasia;false;17
9;It: A Coisa;Stephen King;Terror;true;7
10;Cem Anos de Solidão;Gabriel García Márquez;Realismo Mágico;true;9
11;A Metamorfose;Franz Kafka;Ficção;true;6
12;Percy Jackson e o Ladrão de Raios;Rick Riordan;Fantasia;false;16
13;Jogos Vorazes;Suzanne Collins;Distopia;true;13
14;O Código Da Vinci;Dan Brown;Suspense;true;11
15;Sherlock Holmes;Arthur Conan Doyle;Mistério;true;19
16;Coraline;Neil Gaiman;Fantasia;true;8
17;Anne de Green Gables;L.M. Montgomery;Romance;true;5
18;A Menina que Roubava Livros;Markus Zusak;Drama;true;12
19;Duna;Frank Herbert;Ficção Científica;false;10
20;Extraordinário;R.J. Palacio;Drama;true;14
21;O Nome do Vento;Patrick Rothfuss;Fantasia;true;9
22;Crime e Castigo;Fiódor Dostoiévski;Drama;true;4
23;O Morro dos Ventos Uivantes;Emily Brontë;Romance;true;7
24;Fundação;Isaac Asimov;Ficção Científica;true;6
25;A Bússola de Ouro;Philip Pullman;Fantasia;true;11
